"gene"	"ark1B"	"ark2B"	"blrB"	"polB"	"revB"	"pcnB"
"Potri.001G018700"	0	0	0	0	"0"	"0"
"Potri.001G018800"	1	0	0	0	"0"	"0"
"Potri.001G018900"	0	0	0	0	"0"	"1"
"Potri.001G019000"	1	0	0	0	"0"	"0"
"Potri.001G019100"	0	0	0	0	"0"	"0"
"Potri.001G019200"	1	0	0	0	"0"	"0"
"Potri.001G019300"	0	0	0	0	"0"	"0"
"Potri.001G019400"	0	0	1	1	"0"	"0"
"Potri.001G019500"	0	0	1	1	"0"	"0"
"Potri.001G019600"	0	0	0	0	"0"	"0"
"Potri.001G019700"	0	0	0	0	"0"	"0"
"Potri.001G019800"	0	0	0	0	"0"	"0"
"Potri.001G019900"	0	0	0	0	"0"	"0"
"Potri.001G020000"	0	0	0	0	"0"	"0"
"Potri.001G020100"	0	0	0	0	"0"	"1"
"Potri.001G020200"	0	0	1	0	"0"	"0"
"Potri.001G020300"	0	0	0	0	"0"	"1"
"Potri.001G020400"	0	0	0	0	"0"	"0"
"Potri.001G020500"	1	0	0	0	"0"	"0"
"Potri.001G020600"	1	0	0	0	"0"	"0"
"Potri.001G020700"	1	0	0	0	"0"	"0"
"Potri.001G020800"	1	0	0	0	"0"	"0"
"Potri.001G020900"	0	0	0	0	"0"	"0"
"Potri.001G021000"	0	0	0	0	"0"	"0"
"Potri.001G021100"	0	0	0	0	"0"	"0"
"Potri.001G021200"	0	0	0	0	"0"	"0"
"Potri.001G021300"	0	0	0	0	"0"	"0"
"Potri.001G021400"	0	0	0	0	"0"	"0"
"Potri.001G021500"	1	1	0	0	"0"	"0"
"Potri.001G021600"	1	0	0	0	"0"	"0"
"Potri.001G021700"	0	0	0	0	"0"	"0"
"Potri.001G021800"	0	0	0	0	"0"	"0"
"Potri.001G021900"	0	0	0	0	"1"	"0"
"Potri.001G022000"	0	0	0	0	"0"	"0"
"Potri.001G022100"	0	0	0	0	"0"	"0"
"Potri.001G022200"	0	0	0	0	"0"	"0"
"Potri.001G022300"	0	0	0	0	"0"	"0"
"Potri.001G022400"	1	0	0	0	"0"	"0"
"Potri.001G022500"	1	0	0	0	"0"	"1"
"Potri.001G022600"	1	1	0	0	"0"	"0"
"Potri.001G022700"	1	1	0	0	"0"	"0"
"Potri.001G022800"	0	0	0	0	"0"	"0"
"Potri.001G022900"	0	0	0	0	"0"	"0"
"Potri.001G023000"	1	1	0	0	"0"	"0"
"Potri.001G023100"	1	0	0	0	"0"	"0"
"Potri.001G023200"	0	0	1	1	"0"	"0"
"Potri.001G023300"	0	0	0	0	"0"	"0"
"Potri.001G023400"	0	0	0	0	"0"	"0"
"Potri.001G023500"	0	0	0	0	"0"	"0"
"Potri.001G023600"	0	0	0	0	"0"	"0"
"Potri.001G023700"	0	0	0	0	"0"	"1"
"Potri.001G023800"	0	0	0	0	"0"	"0"
"Potri.001G023900"	0	0	0	0	"0"	"0"
"Potri.001G024000"	1	0	0	0	"0"	"0"
"Potri.001G024100"	0	0	0	0	"0"	"0"
"Potri.001G024200"	0	0	0	0	"0"	"0"
"Potri.001G024300"	0	0	0	0	"0"	"0"
"Potri.001G024400"	0	0	0	0	"0"	"0"
"Potri.001G024500"	1	0	0	0	"0"	"0"
"Potri.001G024600"	1	0	0	0	"0"	"0"
"Potri.001G024700"	0	0	0	0	"0"	"0"
"Potri.001G024800"	1	0	0	0	"0"	"0"
"Potri.001G024900"	0	0	0	0	"0"	"0"
"Potri.001G025000"	0	0	0	0	"0"	"0"
"Potri.001G025100"	0	0	0	0	"0"	"1"
"Potri.001G025200"	0	0	0	0	"0"	"0"
"Potri.001G025300"	1	0	0	0	"0"	"0"
"Potri.001G025400"	1	0	0	0	"0"	"1"
"Potri.001G025500"	1	0	1	1	"0"	"0"
"Potri.001G025600"	1	0	0	0	"0"	"0"
"Potri.001G025700"	0	0	0	0	"0"	"0"
"Potri.001G025800"	0	0	0	0	"0"	"1"
"Potri.001G025900"	1	0	0	0	"0"	"0"
"Potri.001G026000"	1	0	0	0	"0"	"0"
"Potri.001G026100"	1	0	0	0	"0"	"0"
"Potri.001G026200"	1	0	0	0	"0"	"0"
"Potri.001G026300"	1	0	0	0	"0"	"0"
"Potri.001G026400"	1	1	0	0	"0"	"0"
"Potri.001G026500"	1	1	0	0	"0"	"0"
"Potri.001G026600"	1	1	0	0	"0"	"0"
"Potri.001G026700"	1	1	0	0	"0"	"0"
"Potri.001G026800"	1	0	0	0	"0"	"0"
"Potri.001G026900"	1	0	0	0	"0"	"0"
"Potri.001G027000"	0	0	0	0	"0"	"0"
"Potri.001G027100"	0	0	0	0	"0"	"0"
"Potri.001G027200"	0	0	0	0	"0"	"0"
"Potri.001G027300"	0	0	0	0	"0"	"0"
"Potri.001G027400"	1	0	0	0	"0"	"0"
"Potri.001G027500"	1	0	0	0	"0"	"0"
"Potri.001G027600"	1	0	0	0	"0"	"0"
"Potri.001G027700"	0	0	0	0	"0"	"0"
"Potri.001G027800"	0	0	0	0	"0"	"0"
"Potri.001G027900"	0	0	0	0	"0"	"0"
"Potri.001G028000"	0	0	0	0	"0"	"1"
"Potri.001G028100"	0	0	0	0	"0"	"0"
"Potri.001G028200"	0	0	0	0	"0"	"1"
"Potri.001G028300"	1	0	0	0	"0"	"0"
"Potri.001G028400"	0	0	1	0	"0"	"0"
"Potri.001G028500"	0	0	0	0	"0"	"0"
"Potri.001G028600"	0	0	0	0	"0"	"0"
"Potri.001G028700"	0	0	0	0	"0"	"0"
"Potri.001G028800"	0	0	0	0	"0"	"0"
"Potri.001G028900"	0	0	0	0	"0"	"0"
"Potri.001G029000"	0	0	0	0	"0"	"0"
"Potri.001G029100"	0	0	0	0	"0"	"0"
"Potri.001G029200"	0	0	0	0	"0"	"0"
"Potri.001G029300"	0	0	0	0	"0"	"0"
"Potri.001G029400"	1	1	0	0	"0"	"0"
"Potri.001G029500"	1	0	0	0	"0"	"0"
"Potri.001G029600"	1	1	0	0	"0"	"0"
"Potri.001G029700"	0	0	0	0	"0"	"0"
"Potri.001G029800"	1	0	0	0	"0"	"0"
"Potri.001G029900"	1	1	0	0	"0"	"0"
"Potri.001G030000"	1	1	0	0	"0"	"0"
"Potri.001G030100"	1	1	0	0	"0"	"0"
"Potri.001G030200"	1	0	0	0	"0"	"1"
"Potri.001G030300"	1	0	0	0	"0"	"0"
"Potri.001G030400"	0	0	0	0	"0"	"0"
"Potri.001G030500"	0	0	0	0	"0"	"0"
"Potri.001G030600"	0	0	0	0	"0"	"0"
